Query Number;Stemmer;StopWords;VSM/BM25;Retrieved;Relevant;Precision;Recall;F-Score
1;None;No;VSM;54;38;0,7037;1;0,826
1;None;No;BM25;54;38;0,7037;1;0,826
1;None;Yes;VSM;54;38;0,7037;1;0,826
1;None;Yes;BM25;54;38;0,7037;1;0,826
1;Porter;No;VSM;53;38;0,7169;1;0,8351
1;Porter;No;BM25;53;38;0,7169;1;0,8351
1;Porter;Yes;VSM;53;38;0,7169;1;0,8351
1;Porter;Yes;BM25;53;38;0,7169;1;0,8351
2;None;No;VSM;41;34;0,8292;0,8947;0,8607
2;None;No;BM25;41;34;0,8292;0,8947;0,8607
2;None;Yes;VSM;40;33;0,825;0,8684;0,8461
2;None;Yes;BM25;40;33;0,825;0,8684;0,8461
2;Porter;No;VSM;43;34;0,7906;0,8947;0,8395
2;Porter;No;BM25;43;34;0,7906;0,8947;0,8395
2;Porter;Yes;VSM;45;35;0,7777;0,921;0,8433
2;Porter;Yes;BM25;45;35;0,7777;0,921;0,8433
3;None;No;VSM;48;34;0,7083;0,8947;0,7906
3;None;No;BM25;49;34;0,6938;0,8947;0,7816
3;None;Yes;VSM;48;33;0,6875;0,8684;0,7674
3;None;Yes;BM25;48;33;0,6875;0,8684;0,7674
3;Porter;No;VSM;46;33;0,7173;0,8684;0,7857
3;Porter;No;BM25;46;33;0,7173;0,8684;0,7857
3;Porter;Yes;VSM;47;34;0,7234;0,8947;0,8
3;Porter;Yes;BM25;47;34;0,7234;0,8947;0,8
